incident_num,MMSI,vessel_name,vessel_class_from_ais,source,reference_key,report_based_incident_description,report_start_date_of_interest_hst,report_end_date_of_interest_hst,report_incident_time_of_interest_hst,report_vessel_role,report_vessel_class,report_location,ais_incident_start_bound_hst,ais_incident_end_bound_hst,ais_incident_type,ais_incident_evidence,ais_availability_description
27,368596000,OCEAN CRESCENT,Cargo,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.08.10,"A catastrophic failure of the vessel's reduction gear occurred and the vessel had to secure the main engine and lost all propulsion and maneuverability. The engineering department was unable to resolve the issue, and the Master of the vessel coordinated with the fleet manager to arrange a tow to Honolulu for repairs. The Tug Moana Holo travelled to the OCEAN CRESCENT and tugged it back into harbor 8/25/2017. The PI'ILANI and MIKIOI took control of the vessel at harbor and safely moored it to Pier 20. ",2017-08-10,2017-08-25,2017-08-10 02:10:00-10:00,"Material failure, Loss of propulsion",Cargo vessel,"1000 nm from Oahu, enroute from Long Beach CA to Apra Harbor Guam.",2017-08-23 02:53:32-10:00,2017-08-25 23:58:11-10:00,Irregular tow,High evidence,"The event occurred out of range, but the MOANA HOLO and OCEAN CRESCENT's end of the tow are available in the AIS from 8/23/2017 to 8/25/2017. "
28,367492480,LADY J3,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.09.04,"Air got into the fuel lines, causing the main engine to fail and shut down, causing the vessel to lose propulsion. The operator quickly bled air out the fuel lines and regained propulsion. ",2017-09-04,,,"Material failure, Loss of propulsion",Commercial fishing vessel,Honolulu Harbor,2017-09-04 12:04:53-10:00,2017-09-04 13:58:01-10:00,Loss/reduction of propulsion,No obvious evidence,"A loss of propulsion event might possibly correspond to the loss of propulsion in the SOG profile at 13:00, but we note that there is no AIS data for the first half of the day, so this is not guaranteed. "
29,369077000,HOS DOMINATOR,Offshore supply vessel,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.09.12,"While conducting a salvage operation, the vessel (a 1,449 gross ton, US offshore supply vessel) maneuvered over a drifting log and damaged the stern thruster. The vessel was able to maintain safe speed and steerage, and therefore permitted to continue transiting into port. ",2017-09-12,,2017-09-12 09:36:00-10:00,Stern thruster damage,Supply vessel," Off of the Kaena point, Oahu",2017-09-11 20:00:27-10:00,2017-09-12 16:59:53-10:00,Property damage,Good evidence,"The spatial animation for the AIS data corresponds to the report, namely that salvage operations were taking place, and that it was able to transit to port. Looking at the SOG profile, the incident took place just as the vessel slightly picked up speed moving from the salvage area, it then slowed again (likely examining the damage), and then regained speed and returned to port.  "
30,367663880,PACIFIC PARADISE,Fishing,"Newspaper News, USCG National Response Center","News2017.10.10, CGNRC2017","Ran aground, then later caught fire. NRC notes: ""caller stated that a vessel ran aground. There are no signs of discharge of materials at this time.""",2017-10-10,,2017-10-10 23:19:00-10:00,"Grounding, Operator Error",Fishing vessel,"Outrigger Canoe Club, Waikiki. 21.15.14 N, 157.49.30 W",2017-10-10 13:00:13-10:00,2017-10-11 04:57:43-10:00,"Grounding, Fire",Good evidence,"We see that the spatial behavior of the pacific paradise appears decidedly erratic at the time of the incident, meaning that it is likely covered by the data. "
31,310531000,EMERALD PRINCESS,Passenger,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.10.15,"Loss of power due to accidentally securing the fuel valve to the in-service generator, causing an emergency shutdown. The fuel valve was opened and power restored within five minutes. Note that since the EMERALD PRINCESS was anchored at the time, AIS features may or may not be of interest.",2017-10-15,,2017-10-15 07:20:00-10:00,"Equipment failure, Generator",,"Lahaina, HI",2017-10-15 05:00:47-10:00,2017-10-15 08:58:10-10:00,Loss of power,No obvious evidence,"Unclear whether the incident is visible, but AIS tracks are available at the correct day and time. "
32,367151240,MAMO,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.10.23,"Unintended ""Bump and go"" grounding while transiting inbound to the harbor. Several days later the vessel's azimuthing stern drive unit began malfunctioning and the vessel couldn't complete a contracted job (perhaps take a look at subsequent trajectories). The ASD unit was 25-30 degrees out of calibration and the forward and aft skegs on both sized and port nozzles were damaged. ",2017-10-23,,2017-10-23 18:53:00-10:00,"Grounding, Material failure",Tow vessel,Near Buoy #3 inbound Honolulu Harbor,2017-10-23 18:00:33-10:00,2017-10-23 19:59:03-10:00,Grounding,No obvious evidence,"Full AIS is available for the day of the incident, at the time of the incident there seems to be a slight spatial deviation and dip in the speed profile, but the grounding is not obvious."
33,367480150,LADY ANNIE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.10.22,On 10/22/2017 the commercial fishing vessel LADY KAREN (not in the AIS for these dates) broke a drive shaft and lost propulsion. The operator arranged for the LADY ANNIE to recover their fishing gear and tow them back to Honolulu Harbor. ,2017-10-22,2017-10-26,2017-10-22 13:00:00-10:00,Helper vessel,Commercial fishing vessel,,2017-10-24 18:18:34-10:00,2017-10-26 10:58:12-10:00,Irregular tow,Good evidence,"Though the actual incident happened to the LADY KAREN, the LADY KAREN is not available in the AIS during the reported timeframe. The LADY ANNIE, which towed the LADY KAREN back to Honolulu, is available between 10/24 and 10/26. The arrival in Honolulu Harbor on 10/26 matches the IIR. "
34,538001664,REGATTA,Passenger,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.11.08.2,"Vessel had a total loss of power while departing Honolulu, HI. They had to return to harbor on emergency power, with unsuccessful repair attempts. ",2017-11-08,,2017-11-08 02:00:00-10:00,"Material failure, Loss of propulsion",Cruise ship,12 nm W of Barber's point,2017-11-08 00:01:35-10:00,2017-11-08 11:58:44-10:00,Loss/reduction of propulsion,High evidence,"The loss of power for this event is obvious in both the spatial and speed profile, as is the return trip to the harbor. "
35,367617790,SEAFIRE III,Passenger,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.11.08.1,"A passenger from the small passenger vessel, CALYPSO, drowned in Molokini Crater. The CALYPSO is not available in the AIS. The SEAFIRE III assisted by  notifying the command center of the CALYPSO's passenger injury.",2017-11-08,,2017-11-08 09:00:00-10:00,Helper vessel,Passenger Ship,,2017-11-08 06:26:30-10:00,2017-11-08 11:54:02-10:00,Helper vessel,Good evidence,"The SeaFire AIS data is clearly available at Molokini crater, the site of the incident, on the day of the incident. "
36,367309890,NOKE,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.11.10,The towing vessel NOKE towed the NA'INA back to Barbers Point Marina,2017-11-10,,,Helper vessel,Tug,Towed to Barbers Point Marina,2017-11-10 05:00:05-10:00,2017-11-10 20:59:23-10:00,Helper tow,High evidence,"The point of distress for the Na'ina is obvious in the spatial data, and emphasized by the Noke's alignment at the point of tow. "
36,367310270,NA'INA,Industrial Vessel,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.11.10,The NA'INA's starboard propeller was fouled by the pull up line and chain to the mooring hawser. This caused a loss of propulsion. It had to be towed back to Barbers Point Marina by the NOKE. ,2017-11-10,,,"Fouled propeller, Loss of propulsion",Tug,Single point mooring buoy,2017-11-10 05:00:31-10:00,2017-11-10 20:58:42-10:00,"Loss/reduction of propulsion, Irregular tow",High evidence,"The point of distress for the Na'ina is obvious in the spatial data, and emphasized by the Noke's alignment at the point of tow. "
37,577201000,B SKY,Tanker,USCG Archived List of IMO reportable detentions,IMORepDet,"The rescue equipment needed major surveying, corroded ballast water vents. IMO Reportable Detention Codes: 620, 615, 650, 660, 611, 730, 1299, 2550.",2017-12-05,,,USCG Detention,Tank Ship,,2017-12-03 19:13:26-10:00,2017-12-05 23:57:37-10:00,Material failure,No obvious evidence,"Anomalous trajectory/detention unclear, vessel data available for day and day prior. "
38,367479170,CAPTAIN D,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.12.03,"The SEVEN STAR's single main engine stalled and the vessel lost all propulsion. Power couldn't be restored after trouble shooting, and the vessel owner arranged with the CAPTAIN D to tow the SEVEN STAR back to Honolulu Harbor. Note the report claims the SEVEN STAR arrived safely back on 12/6 but it appears to have arrived 12/5 in conjunction with the helper tow. ",2017-12-03,2017-12-06,,Helper vessel,Commercial fishing vessel,130 nm S of Honolulu Harbor,2017-12-04 12:45:32-10:00,2017-12-05 08:59:13-10:00,Irregular tow,High evidence,"The irregular tow trajectory for helper vessel CAPTAIN D is available for this incident--the event took place out of range of the coastal bounding box. The SEVEN STAR AIS data is not available until after it had safely docked in Honolulu Harbor on 12/6/2017. The actual arrival in harbor seems to have taken place on 12/5/2017, however. "
39,367045620,PRINCESS JASMINE II,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.12.07,"The operator had to turn off the engine because oil was leaking from the oil pump, leading to a loss of propulsion. He decided to have the vessel return to Honolulu Harbor to have the oil pump replaced instead of travelling further off shore and experiencing potential failure.",2017-12-07,,2017-12-07 06:00:00-10:00,"Material failure, Loss of propulsion",Commercial fishing vessel,16 nm offshore,2017-12-06 23:00:27-10:00,2017-12-07 17:59:30-10:00,"Route deviation, Loss/reduction of propulsion",Some evidence,"Recall that datetimes are approximate. It appears that the Princess Jasmine II was preparing for departure closer to 5:00 HST than 6:00 HST, so there may be misalignment between the report and the data. Since the vessel is a commercial fishing vessel, it appears to be mostly stationary (low speed) from 0:00 to 5:20 HST, then returning to port. Presumably at the end of the stationary period was the time for departure checks, it is possible that the vessel was going too slow for the loss of propulsion to be evident. We do note that the vessel did return to honolulu after its stationary period rather than going further off shore, which suggests an evident route deviation. "
40,518100014,HAI SOON 39,Tanker,USCG Archived List of IMO reportable detentions,IMORepDet,"Lifeboat issues, crew couldn't demo how to use oily water separating equipment, issues with oil record book. IMO Reportable Detention Codes: 1710, 1730.",2017-12-14,,,USCG Detention,Tank Ship,,2017-12-12 01:53:10-10:00,2017-12-14 23:58:28-10:00,Pollution,No obvious evidence,The HAI SOON was moored at the time of its detention. It's prior trajectory on 12/13 is available and might be of interest for observing if the overarching behavior of the vessel was irregular.
41,255805789,APL ALOHA,Cargo,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2017.12.27,Main engine began to experience excessive black smoke coming out of the exhaust stack and the main engine shut down.,2017-12-27,,2017-12-27 16:54:00-10:00,"Equipment failure, Loss of propulsion",,Outbound Honolulu Harbor,2017-12-27 13:00:40-10:00,2017-12-27 23:58:11-10:00,Loss/reduction of propulsion,No obvious evidence,"Whether the AIS data matches is unclear. The vessel appeared to be largely stationary for some time prior to the cited incident time, away from pier 10. Matching the report, however, is the vessel returning to pier 10 after the event, and staying there several days for diagnosis. "
42,219040000,GWENDOLINE,Pleasure Craft/Sailing,USCG National Response Center,CGNRC2018,NRC notes: Caller stated there is a spill of materials from a pleasure craft that capsized and sank.,2018-01-28,,2018-01-28 15:51:00-10:00,Vessel Sinking,Pleasure Craft,"20.53.5 N, 156.41.44 W",2018-01-28 06:02:02-10:00,2018-01-28 23:54:03-10:00,Sinking,No obvious evidence,"
At 15:51 HST the Gwendoline was at the latitude and longitude reported to the NRC, whether this corresponded to the reported event is unclear in the visualization. "
43,310327000,GRAND PRINCESS,Passenger,Defense Visual Information Distribution Service,DVIDS.2018.01.3,A 71 year old woman had to be med evaced by air,2018-01-30,,2018-01-30 01:35:00-10:00,Passenger Injury,Cruise ship,14 miles south of Oahu,2018-01-29 16:02:42-10:00,2018-01-30 07:58:25-10:00,"Route deviation, Injury/medical emergency",High evidence,"The vessel was indeed south of Oahu at the time on the report, and had an odd diversion pattern prior to the med-evac, indicating this event is probably in the data. "
44,367045610,PRINCESS JASMINE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.02.17,"Fuel injection pump failed to  the intrusion of sludge and debris, causing the engine to fail. The vessel was dead in the water and had to be towed back by the CFV OKAY. Note the CFV OKAY is not in the AIS data. ",2018-02-17,,2018-02-17 19:45:00-10:00,"Material failure, Loss of propulsion",Commercial fishing vessel,Honolulu Harbor,2018-02-17 18:02:41-10:00,2018-02-17 20:57:56-10:00,"Loss/reduction of propulsion, Irregular tow",Good evidence,"We see the Princess Jasmine leave the harbor from Pier 17 and then return shortly thereafter, as suggested in the report. The report clarifies that this return was due to a tug. There was a sharp drop in the SOG profile, but prior to the time suggested. The report indicates that the Princess Jasmine  left Pier 17 at approximately 19:45, but the AIS indicates the Princess Jasmine left at 18:16. The discrepancy between the report and the AIS is unclear, but the pattern of behavior appears to match the incident, as the CFV did not go out to sea as intended. "
45,244958000,MAASDAM,Passenger,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.02.19,A passenger had a severe head injury and medical team onboard recommended evacuation to a hospital. The vessel changed course to rendezvous with the coast guard air station flight surgeon. They rendezvoused 2/20/2018 at 8:19 AM approximately 12 nm north of Maui.,2018-02-19,2018-02-20,2018-02-19 13:15:00-10:00,"Passenger Injury, Head Trauma",Cruise ship,Toward Maui,2018-02-19 08:00:06-10:00,2018-02-20 14:59:23-10:00,"Route deviation, Injury/medical emergency",High evidence,"The change in direction and rendezvous are definitely evident in the spatial AIS data at this time. We also note a speed up after the incident, likely to rush the injured passenger to the rendezvous point. "
46,367645140,LADY PAULINE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.02.15,"The bolts that fasten the rudder to the rudder post wasted away and caused the rudder to fall off the vessel. The rudder fell to the ocean floor, leaving the vessel dead in the water. Sister vessel HOKUEA (not in data for event time) towed the vessel back to Honolulu Harbor.",2020-02-15,,2020-02-15 23:00:00-10:00,Loss of steering,Commercial fishing vessel,290 nm N of Oahu,2018-02-22 07:52:16-10:00,2018-02-23 10:58:10-10:00,Loss of steering/maneuverability,Good evidence,"The report states that the loss of steering was reported 2/16/2018, and then says that the actual event occurred 2/25/2018--which is impossible and in the future. We conclude that this was a typo, and the actual event took place 2/15/2018. The event is out of the range for the coastal bounding box, but the trajectory associated with the LADY PAULINE being towed back is available on 2/22/2018-2/23/2018. Note that the helper vessel towing the LADY PAULINE is not in the data. "
47,367309260,SIRIUS,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.02.24,"While enroute the exchange the Barge NALE from tug NAKOA, the vessel lost all propulsion and maneuverability (the upper sea chest valve was left open). After approximately 15 minutes, the engines were cool enough to bring back online and restore propulsion. ",2018-02-24,,2018-02-24 00:01:00-10:00,"Equipment failure, Loss of propulsion",Tug,"2 nautical miles from Nakalele Point Light, Maui",2018-02-23 23:00:02-10:00,2018-02-24 04:59:02-10:00,Loss/reduction of propulsion,High evidence,"The loss of propulsion is immediately apparent in the SOG profile, and the time period is covered in the data"
47,367309120,NAKOA,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.02.24,The tug NAKOA exchanged with the SIRIUS after propulsion was restored. ,2018-02-24,,,Affiliated vessel,Tug,,2018-02-24 01:05:08-10:00,2018-02-24 04:59:37-10:00,Helper tow,High evidence,The NAKOA does indeed appear to rendezvous with the SIRIUS after the incident as described
48,369629000,MAJESTIC,Passenger,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.03.01,"Passenger slipped, fell, injured left femur",2018-03-01,,2018-03-01 18:30:00-10:00,Passenger Injury,Passenger Ship,,2018-03-01 17:01:19-10:00,2018-03-01 19:59:01-10:00,"Route deviation, Injury/medical emergency",High evidence,Note the vessel turned around at the time of the incident (spatial) and sped up (SOG profile) after briefly slowing down. This correlates with rushing back after a passenger injury. 
49,367556120,COMMANDER,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.03.25,On 10/25 the PRINCESS HAWAII was hit by 3 large continuous swells > 20 feet. This caused the PRINCESS HAWAII to sink. The COMMANDER arrived on the scene late that evening to rescue the 8 survivors from their life raft. The COMMANDER returned to Honolulu Harbor with the survivors and safely arrived 3/29/2018. ,2018-03-25,2018-03-29,2018-03-25 22:53:00-10:00,Helper vessel,Commerical fishing vessel,"380 nm E NE of Hilo, Hawaii",2018-03-28 17:48:47-10:00,2018-03-29 13:59:34-10:00,"Route deviation, Helper vessel",Good evidence,The PRINCESS HAWAII was outside the coastal bounding box at the time of the incident. The COMMANDER's rescue return to Honolulu Harbor is available from 3/28-3/29
50,367341510,SYLVIA,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.04.16,The SYLVIA towed the PARADISE back to harbor following the incident,2018-04-16,2018-04-20,,Helper vessel,Commercial fishing vessel,,2018-04-18 03:54:06-10:00,2018-04-20 11:58:26-10:00,Irregular tow,High evidence,"Even in range of our dataset, only the final days of the tow are available. We see 3 far-apart points for the SYLVIA on 4/18, then the majority of points are for both the PARADISE 2002 and the SYLVIA for the abnormal tow 4/18-4/20. Note south of Oahu there is some distinct and odd route behavior in the trajectory--doubling back and then approaching the harbor. As with many such cases, it appears the two vessels parted outside of the harbor--likely for a tug to complete the tow to port. "
50,367442170,PARADISE 2002,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.04.16,"While the vessel was hauling in fishing gear the engine had intermittent issues. The operator tried changing fuel filters, but it didn't resolve the issues. Then the fuel injector pump failed, the main engine shut down and the vessel lost all propulsion and maneuverability. The operator coordinated with a nearby vessel to tow them back to Honolulu Harbor, HI",2018-04-16,2018-04-20,2018-04-16 10:00:00-10:00,"Equipment failure, Loss of propulsion",Commercial fishing vessel,"130 nm NNW of Kauai, HI",2018-04-19 04:31:53-10:00,2018-04-20 11:54:14-10:00,Irregular tow,High evidence,"Even in range of our dataset, only the final days of the tow are available. We see 3 far-apart points for the SYLVIA on 4/18, then the majority of points are for both the PARADISE 2002 and the SYLVIA for the abnormal tow 4/18-4/20. Note south of Oahu there is some distinct and odd route behavior in the trajectory--doubling back and then approaching the harbor. As with many such cases, it appears the two vessels parted outside of the harbor--likely for a tug to complete the tow to port. "
51,374496000,SUDESTADA,Cargo,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.04.21,"Main engine's stern propulsion failed to respond during pre arrival checks. The master took evasive maneuvers and headed out to sea to troubleshoot, where the problem in the fuel system was finally discovered and rectified",2018-04-21,,2018-04-21 05:43:00-10:00,"Material failure, Loss of power",Freight Vessel,"Near Barber's Point, HI",2018-04-21 00:00:10-10:00,2018-04-21 14:58:10-10:00,Loss/reduction of propulsion,High evidence,"We note a distinct decrease in propulsion in the speed profile at the time indicated. We also note a slow, swirling pattern of behavior following the incident. After a period of very low speed, we note the trajectory finishes at barber's point. This is all consistent with the report. "
52,367711550,LADY MOCHA II,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.04.23,"At some point prior to 10:30 on 4/23/2018, a heavy object fell on the LADY MOCHA II main engine's cooling pipe, causing the main engine to overheat and need to be shut down. The owner arranged for the MISS JULIE to tow the LADY MOCHA back to Honolulu. ",2018-04-23,,,"Material failure, Loss of power",Commercial fishing vessel,12 nm W of Big Island,2018-04-22 09:00:00-10:00,2018-04-26 13:01:22-10:00,"Loss/reduction of propulsion, Irregular tow",High evidence,"We see a sharp drop in the speed profile at about 12:00 on 4/22. The report was received at 10:30 on 4/22, so an event the day prior is definitely possible.  The trajectory itself has a slow, erratic pattern between the speed dip and the rendezvous. The tow rendezvous with the MISS JULIE is obvious in the spatial visualization of the data. For the LADY MOCHA II, AIS was not broadcast after the initial few hours of the tow until the two vessels neared Honolulu Harbor."
53,367433780,STAR OF HONOLULU,Passenger,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.04.22,"Coming back to Honolulu, heavy black smoke was coming out of the stack and the engine RPMs rose to 2200 RPM's. The engine had a catastrophic failure of the connecting rod, resulting in multiple holes on the port and starboard sides. The vessel went back to the harbor on the starboard engine with 2 tug escorts. ",2018-04-22,,2018-04-22 13:00:00-10:00,"Material failure, Main engine",Small Passenger Vessel,"1 nm off of Diamond Head, Oahu, HI",2018-04-22 12:00:06-10:00,2018-04-22 14:59:46-10:00,Route deviation,Good evidence,"The AIS data is available at the date and time indicated in the report. In the spatial data, we see that the vessel turned around toward the harbor at a time consistent with the report."
52,366721530,MISS JULIE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.04.23,The commercial fishing vessel MISS JULIE was called to tow the LADY MOCHA II to Honolulu Harbor. It arrived on 4/25/2018 to tow it. The discrepancy in days may be because a sister ship would be a cheaper tow than a commercial tow service. ,2018-04-25,,,Helper vessel,Commercial fishing vessel,,2018-04-25 01:58:22-10:00,2018-04-26 14:58:49-10:00,Irregular tow,High evidence,"The tow is evident in the AIS data. The Miss Julie rendezvoused at about 11:00 HST 4/25/2018 and arrived in Honolulu Harbor a day later 4/26/2018. The AIS for the MISS JULIE only becomes available about 10 hours prior to the rendezvous, but it does visualize the MISS JULIE heading in the appropriate direction. "
54,367196000,MOKIHANA,Cargo,USCG National Response Center,CGNRC2018,NRC Notes:  Caller is reporting a small fracture in the starboard wing tank of a vessel resulting in a discharge of #5 fuel oil.,2018-05-10,,2018-05-10 22:00:00-10:00,"Equipment failure, Material failure",Container Ship,,2018-05-10 18:00:16-10:00,2018-05-11 07:57:12-10:00,Material failure,No obvious evidence,"The event took place while the MOKIHANA was moored at Honolulu harbor, so there is little evidence. It is possible something irregular in the trajectory prior to the event would be worth investigating, Otherwise the only possible indicator is in harbor movement about 6 hours after the event, which could have potentially been for repair. "
55,368000110,ORION,Pleasure Craft/Sailing,USCG National Response Center,CGNRC2018,NRC notes: Caller reports that a vessel ran aground and sank...Caller states that there is no evidence of a release at this time. ,2018-05-16,,2018-05-16 21:31:00-10:00,"Grounding, Vessel Sinking",Pleasure Craft,"20.38.3 N, 156.29.34 W",2018-05-16 15:00:44-10:00,2018-05-16 22:32:59-10:00,Sinking,Some evidence,"The ORION is available only two days during the month of May, 2018--the incident day and 5/2. On the incident day, we see the ORION travel from the coast of big island (north of Hilo) to Pahe'e O Lono Point at the Molokini Shoal Marine Life Conservation District (Molokini crater), where a cluster of points are available. We note however, that the points come to a stop abruptly in the speed profile at the event time indicated. This could be related to a sinking and not just a mooring--especially since no further AIS is reported by the ORION during that month. "
56,366721530,MISS JULIE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.05.14,The MISS JULIE towed the LADY JACKIE back to Honolulu Harbor,2018-05-14,2018-05-21,,Helper vessel,Commercial fishing vessel,,2018-05-20 17:08:00-10:00,2018-05-21 19:57:15-10:00,Irregular tow,Good evidence,"The LADY JACKIE's trajectory is only available for a few AIS points just outside of and inside of Honolulu Harbor. MISS JULIE's trajectory for the presumed tow days are available, but there is no coinciding trajectory of LADY JACKIE's until the end, as mentioned. "
56,367556290,LADY JACKIE,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.05.14,"While conducting commercial fishing operations, the LADY JACKIE lost propulsion due to a broken shaft. The operator coordinated a tow back with the MISS JULIE.",2018-05-14,2018-05-21,2018-05-14 11:00:00-10:00,Loss of propulsion,Commercial fishing vessel,"600 nm NE of the Big Island, HI",2018-05-21 16:36:00-10:00,2018-05-21 17:09:26-10:00,Irregular tow,Good evidence,"The LADY JACKIE's trajectory is only available for a few AIS points just outside of and inside of Honolulu Harbor. MISS JULIE's trajectory for the presumed tow days are available, but there is no coinciding trajectory of LADY JACKIE's until the end, as mentioned. "
57,367604540,RISING PHOENIX II,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.06.05,"While underway transiting to Honolulu Harbor, HI 70 miles south of the Hawaii, it lost propulsion due to an oil cooler failure/loss of coolant. The sister vessel RISING PHOENIX II was arranged to return the SAPPHIRE II to port. ",2018-06-05,2018-06-08,,Helper vessel,Commercial fishing vessel,70 nm S of Hawaii,2018-06-06 19:49:13-10:00,2018-06-08 11:59:28-10:00,Irregular tow,High evidence,"The incident is not available, but the anomalous tow is. Note an odd set of deviations in the tow at the end. It's possible another tug picked up the SAPPHIRE II at one of those points. "
57,367638280,SAPPHIRE II,Fishing,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.06.05,"While underway transiting to Honolulu Harbor, HI 70 miles south of the Hawaii, it lost propulsion due to an oil cooler failure/loss of coolant. The sister vessel RISING PHOENIX II was arranged to return the SAPPHIRE II to port. ",2018-06-05,2018-06-08,2018-06-05 09:00:00-10:00,"Material failure, Loss of propulsion",Commercial fishing vessel,70 nm S of Hawaii,2018-06-06 20:15:23-10:00,2018-06-08 11:58:08-10:00,Irregular tow,High evidence,"The incident is not available, but the anomalous tow is. Note an odd set of deviations in the tow at the end. It's possible another tug picked up the SAPPHIRE II at one of those points. "
58,366972620,MIKIOI,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.06.19,The MIKIOI tug was notified of the MAMO's situation and completed the shift of the MATSONIA and brought the tug MAMO to Pier 22 for evaluation.,2018-06-19,,,Helper vessel,Tug,Honolulu Harbor,2018-06-19 15:00:00-10:00,2018-06-19 18:59:59-10:00,Helper tow,High evidence,The MIKIOI AIS is available throughout the incident.
58,366365000,MATSONIA,Cargo,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.06.19,"The MATSONIA's tow was disrupted by the MAMO's loss of maneuverability, and had to be finished by the MIKIOI",2018-06-19,,2018-06-19 16:37:00-10:00,Vessel being towed,Cargo vessel,"Inbound Honolulu Harbor, Pier 52",2018-06-19 15:00:04-10:00,2018-06-19 18:59:28-10:00,Loss of steering/maneuverability,High evidence,The MATSONIA AIS is available throughout the incident.
58,367151240,MAMO,Tug Tow,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.06.19,The MAMO lost maneuverability while towing the MATSONIA in bound Honolulu Harbor to Pier 52. The MAMO's starboard zdrive unit wouldn't clutch in and port would not clutch out. MAMO shut down main engines to prevent any damage to the tug or the MATSONIA (it was tugging) but the bowline did come across the tug's exhaust stacks and caused damage. ,2018-06-19,,2018-06-19 16:37:00-10:00,"Material failure, Loss of maneauverability",Tug,Honolulu Harbor,2018-06-19 15:01:23-10:00,2018-06-19 18:58:39-10:00,Loss of steering/maneuverability,Good evidence,"The MAMO AIS points are available at the time of the event, but are not broadcast in conjunction with the MATSONIA's entire trajectory. We do see spatial/time alignment between the MAMO and MIKIOI and the MATSONIA and MIKIOI consistent with the report that the MIKIOI completed the MATSONIA's shift and brought the MAMO to pier 22.  "
59,366994450,PRIDE OF AMERICA,Passenger,USCG Maritime Information Exchange Incident Investigation Reports (IIR),IIR.2018.06.20,"Vessel lost all power and subsequently all propulsion and maneuverability. Within minutes, emergency generator restored power. This was caused by the failure of one of the diesel generators.",2018-06-20,,2018-06-20 16:29:00-10:00,"Material failure, Loss of power",Cruise ship,Underway off of Kailua Bay at the Kona Anchorage,2018-06-20 15:00:41-10:00,2018-06-20 18:59:16-10:00,Loss/reduction of propulsion,Good evidence,"Examining the spatial information in conjunction with the time, we see that at the time of the event the vessel indeed was moving away from being anchored, and remained at a very slow speed (doing a small loop) before eventually speeding up and off. This indeed seems to correspond to the described event. "
